seq1	4p12.1	(45.6,69.2)
seq3028	20q7.6	(73.4,3.8)
seq3029	6q5.4	(62.8,46.6)
seq3030	15p1.2	(96.3,17.8)
seq3031	9p11.4	(83.2,76.1)
seq3032	20p7.10	(7.0,67.9)
seq3033	5q9.1	(27.6,10.9)
seq3034	1p15.2	(71.1,71.6)
seq3035	10q12.5	(26.9,37.0)
seq3036	17q10.11	(58.5,44.5)
seq3037	11p1.2	(16.8,53.2)
seq3038	2q2.1	(21.3,98.0)
seq3039	17q3.2	(75.0,12.6)
seq3040	16q9.4	(84.2,86.8)
seq3041	4q1.10	(37.1,33.3)
seq3042	8q9.5	(35.9,70.8)
seq3043	14q15.8	(61.4,52.9)
seq3044	2p15.8	(19.0,59.3)
seq3045	14p1.3	(90.1,2.5)
seq3046	14q9.2	(60.0,93.6)
seq3047	21q2.11	(54.8,29.0)
seq3048	3p7.13	(79.6,28.4)
seq3049	16p6.9	(16.2,11.6)
seq3050	16q4.11	(53.4,2.6)
seq3051	20q12.9	(45.6,1.6)
seq3052	11q9.6	(22.6,50.9)
seq3053	12p11.8	(72.6,71.5)
seq3054	4p6.14	(1.4,2.3)
seq3055	4q8.8	(82.8,23.9)
seq3056	20q13.7	(11.2,3.5)
seq3057	11p7.1	(52.1,76.6)
seq3058	16q2.15	(27.8,26.1)
seq3059	5q2.11	(96.7,56.7)
seq3060	4q13.4	(70.0,83.8)
seq3061	5p1.1	(42.5,19.6)
seq3062	8q5.5	(46.0,41.0)
seq3063	22q11.8	(7.7,21.5)
seq3064	4p10.14	(67.6,13.4)
seq3065	6q12.3	(66.4,79.8)
seq3066	6p15.9	(63.0,63.8)
seq3067	11p10.8	(43.3,93.9)
seq3068	13p12.3	(37.8,26.7)
seq3069	1p6.5	(91.9,100.0)
seq3070	20q11.4	(80.5,94.7)
seq3071	21p4.6	(59.1,89.2)
seq3072	9q15.13	(79.1,23.5)
seq3073	8p3.6	(53.1,59.5)
seq3074	16q2.11	(88.8,23.6)
seq3075	16p15.12	(51.3,30.0)
seq3076	13q6.10	(74.2,79.2)
seq3077	3q1.5	(80.1,20.0)
seq3078	17p13.2	(69.0,68.7)
seq3079	17p7.13	(43.2,11.7)
seq3080	11p6.8	(5.5,45.5)
seq3081	6p1.1	(43.9,60.4)
seq3082	6q8.4	(9.0,5.2)
seq3083	10p12.12	(73.9,24.9)
seq3084	12p9.4	(93.6,72.7)
seq3085	18p3.2	(8.5,55.2)
seq3086	22q11.9	(3.3,18.0)
seq3087	5p3.13	(27.4,66.3)
seq3088	21p10.10	(45.9,13.0)
seq3089	19q13.5	(4.2,21.2)
seq3090	20q13.14	(72.7,21.7)
seq3091	1p11.4	(22.6,43.0)
seq3092	10q1.7	(21.7,13.3)
seq3093	3p2.3	(24.2,59.8)
seq3094	20q12.6	(52.0,22.4)
seq3095	6p12.9	(28.5,76.7)
seq3096	8q4.9	(35.8,5.0)
seq3097	7q13.5	(44.9,32.2)
seq3098	12q3.7	(89.9,97.6)
seq3099	12q10.10	(32.1,78.8)
seq3100	2p15.13	(90.2,14.2)
seq3101	21p6.12	(87.9,93.5)
seq3102	15p9.1	(37.2,63.0)
seq3103	17p8.1	(73.9,71.9)
seq3104	13q13.6	(74.1,95.3)
seq3105	20q14.9	(41.7,1.1)
seq3106	10p13.5	(72.9,26.0)
seq3107	11q9.7	(76.1,26.3)
seq3108	20p8.5	(55.8,62.5)
seq3109	6p2.1	(19.1,34.5)
seq3110	2q13.9	(25.2,76.8)
seq3111	2p9.9	(51.1,13.7)
seq3112	6q15.3	(53.3,22.7)
seq3113	6q5.3	(81.1,84.0)
seq3114	1p9.15	(10.5,72.7)
seq3115	15q11.3	(66.2,65.3)
seq3116	5p2.5	(98.5,51.0)
seq3117	12q12.11	(16.3,34.9)
seq3118	3q4.13	(85.8,68.8)
seq3119	18p7.4	(73.9,80.0)
seq3120	9q9.13	(79.7,80.6)
seq3121	19p5.4	(69.3,14.9)
seq3122	17p8.10	(41.4,26.8)
seq3123	15p3.15	(27.0,79.2)
seq3124	10p3.11	(11.1,17.9)
seq3125	17q3.2	(46.5,24.9)
seq3126	14q5.9	(29.8,92.7)
seq3127	1q7.5	(6.5,22.3)
seq3128	4p13.1	(8.3,95.9)
seq3129	18q3.11	(93.2,4.0)
seq3130	17p1.6	(65.9,7.7)
seq3131	9p8.9	(16.6,24.9)
seq3132	11p1.11	(84.3,35.6)
seq3133	3p15.12	(30.5,28.0)
seq3134	2p4.1	(20.6,4.5)
seq3135	17q3.15	(32.4,20.7)
seq3136	7q5.7	(10.2,94.1)
seq3137	21q13.11	(16.2,7.4)
seq3138	6q7.6	(86.9,62.4)
seq3139	3p1.8	(41.0,11.6)
seq3140	2p8.3	(91.8,60.7)
seq3141	13p1.14	(30.2,24.0)
seq3142	2p4.10	(39.9,40.7)
seq3143	17q10.2	(90.0,12.2)
seq3144	12q11.6	(32.9,17.0)
seq3145	18p14.10	(47.9,14.7)
seq3146	2q12.9	(25.4,4.2)
seq3147	8p4.3	(96.4,58.4)
seq3148	4q4.2	(93.6,13.3)
seq3149	11p3.10	(10.2,22.6)
seq3150	1p10.2	(15.4,58.0)
seq3151	9p4.15	(47.5,28.9)
seq3152	8q6.13	(33.5,22.4)
seq3153	8p6.8	(68.2,13.5)
seq3154	1p12.7	(2.7,98.2)
seq3155	6p2.3	(58.5,30.3)
seq3156	13p7.5	(59.6,76.4)
seq3157	11q1.8	(63.8,16.7)
seq3158	13q14.4	(17.3,81.5)
seq3159	4q12.13	(31.7,62.2)
seq3160	8p5.6	(93.6,14.6)
seq3161	6q9.10	(8.3,77.6)
seq3162	17q7.6	(90.8,56.6)
seq3163	3q8.7	(32.8,12.5)
seq3164	22q8.6	(58.4,98.1)
seq3165	9q12.1	(35.3,57.0)
seq3166	13q3.7	(98.9,10.5)
seq3167	4q7.9	(2.5,97.8)
seq3168	3p4.1	(11.0,82.2)
seq3169	20p14.2	(66.9,0.1)
seq3170	11q2.6	(95.1,83.7)
seq3171	16q1.1	(90.9,34.8)
seq3172	10p12.7	(97.3,71.7)
seq3173	10q11.3	(47.4,28.7)
seq3174	12q11.2	(10.6,25.1)
seq3175	5p3.10	(7.0,83.4)
seq3176	21q8.7	(57.9,64.4)
seq3177	14q8.1	(74.4,44.3)
seq3178	1p8.14	(19.9,90.9)
seq3179	19q7.15	(11.6,87.2)
seq3180	2p13.3	(40.9,25.6)
seq3181	14p2.2	(0.1,94.9)
seq3182	12p6.5	(10.1,59.7)
seq3183	17p5.5	(33.9,28.1)
seq3184	16q5.6	(89.0,28.4)
seq3185	12q2.6	(96.0,86.7)
seq3186	5q9.6	(85.0,81.0)
seq3187	4p3.3	(17.4,64.9)
seq3188	21p13.10	(2.4,73.4)
seq3189	6q7.2	(81.7,3.4)
seq3190	12p2.6	(86.6,52.1)
seq3191	11q2.5	(50.0,96.2)
seq3192	10q4.15	(91.0,45.4)
seq3193	6p12.12	(64.3,11.3)
seq3194	11p3.7	(3.4,39.9)
seq3195	17p1.11	(5.4,70.7)
seq3196	13q6.5	(66.5,67.8)
seq3197	16p7.1	(92.4,67.4)
seq3198	8p6.10	(88.2,32.1)
seq3199	3q10.12	(88.2,62.7)
seq3200	13q14.4	(57.2,73.9)
seq3201	3q1.4	(86.1,4.8)
seq3202	14q6.14	(27.5,74.6)
seq3203	12q12.7	(45.2,33.6)
seq3204	17p4.11	(30.7,2.8)
seq3205	10p12.2	(84.8,62.0)
seq3206	8p2.8	(9.4,9.0)
seq3207	17q3.8	(81.6,88.6)
seq3208	15q1.4	(12.1,70.7)
seq3209	2p4.11	(6.1,68.7)
seq3210	15p10.3	(16.8,20.4)
seq3211	22q11.3	(37.8,82.3)
seq3212	8q6.9	(31.2,83.9)
seq3213	22p5.4	(43.5,15.0)
seq3214	5q12.4	(16.3,87.8)
seq3215	7q15.13	(78.0,41.5)
seq3216	12p5.14	(11.0,2.9)
seq3217	19p4.2	(97.3,80.6)
seq3218	1p8.2	(34.8,27.1)
seq3219	21p6.7	(38.6,42.8)
seq3220	14q9.6	(4.2,61.9)
seq3221	12q15.3	(52.0,5.9)
seq3222	18q8.11	(81.0,11.1)
seq3223	5p1.14	(22.1,75.0)
seq3224	19q5.11	(10.3,17.1)
seq3225	13p8.11	(87.1,59.1)
seq3226	16q2.3	(86.2,1.9)
seq3227	5q5.13	(61.1,92.4)
seq3228	6p1.15	(2.4,47.3)
seq3229	21q5.2	(82.5,55.7)
seq3230	7p7.3	(61.3,64.9)
seq3231	5q14.13	(15.2,24.5)
seq3232	5q8.6	(36.2,41.6)
seq3233	7p12.4	(9.2,93.4)
seq3234	18p5.5	(62.8,52.8)
seq3235	8q13.3	(40.5,86.6)
seq3236	18p8.8	(98.5,18.5)
seq3237	20q12.7	(14.3,47.4)
seq3238	12p3.5	(68.5,94.8)
seq3239	18p1.8	(97.9,92.6)
seq3240	8q10.6	(33.4,48.2)
seq3241	18q8.2	(13.8,72.7)
seq3242	14p13.2	(78.4,1.8)
seq3243	8q9.9	(81.5,22.9)
seq3244	20q14.10	(68.9,3.4)
seq3245	10q8.4	(52.3,81.6)
seq3246	15p10.13	(31.3,1.4)
seq3247	5p11.13	(52.2,78.3)
seq3248	9q1.1	(16.4,34.2)
seq3249	11p1.12	(59.7,5.3)
seq3250	8p6.9	(61.4,35.0)
seq3251	19q15.1	(53.4,78.5)
seq3252	2p15.14	(32.3,52.6)
seq3253	4p5.4	(56.2,79.5)
seq3254	21q8.6	(13.9,17.9)
seq3255	9q11.4	(14.5,33.7)
seq3256	17q10.14	(65.8,45.8)
seq3257	4p4.14	(71.4,91.1)
seq3258	14q3.7	(80.1,99.7)
seq3259	14q13.7	(46.8,56.2)
seq3260	2p6.9	(62.6,77.7)
seq3261	21p4.13	(17.6,74.8)
seq3262	5q5.14	(96.3,33.0)
seq3263	17p9.11	(99.2,65.4)
seq3264	1p3.4	(33.5,42.7)
seq3265	1p4.3	(87.8,7.5)
seq3266	7q7.10	(6.2,35.6)
seq3267	2p4.6	(88.8,83.7)
seq3268	9p2.11	(1.5,95.1)
seq3269	18q6.14	(82.3,6.7)
seq3270	3q10.13	(11.9,47.0)
seq3271	10q5.6	(69.8,58.9)
seq3272	8q5.13	(75.4,7.9)
seq3273	16q10.8	(76.8,21.3)
seq3274	20q7.8	(82.2,12.7)
seq3275	6p13.13	(53.6,9.8)
seq3276	21q4.3	(12.4,56.9)
seq3277	20p14.15	(77.8,57.6)
seq3278	18q5.10	(92.2,81.8)
seq3279	6p3.6	(56.0,73.4)
seq3280	16p2.9	(30.5,68.9)
seq3281	13q10.14	(10.1,76.0)
seq3282	10p11.7	(86.5,58.1)
seq3283	8p3.5	(33.2,75.3)
seq3284	4q11.9	(79.2,43.2)
seq3285	22p6.15	(56.0,43.8)
seq3286	16p7.2	(85.2,94.6)
seq3287	21q8.5	(39.4,10.4)
seq3288	7p12.6	(28.6,56.5)
seq3289	18q11.12	(61.4,20.9)
seq3290	2p13.9	(77.3,49.6)
seq3291	20q1.3	(91.3,41.4)
seq3292	15p6.12	(9.2,32.7)
seq3293	22p7.10	(69.7,42.8)
seq3294	18p2.13	(66.0,7.4)
seq3295	21q7.2	(9.7,85.0)
seq3296	12p3.11	(1.9,53.2)
seq3297	17q3.15	(68.0,30.3)
seq3298	1q15.15	(30.7,9.7)
seq3299	1p12.12	(71.2,41.9)
seq3300	18p14.6	(49.9,26.7)
seq3301	9p14.5	(99.4,10.9)
seq3302	10p13.12	(7.5,76.5)
seq3303	19p15.14	(94.6,16.2)
seq3304	12q12.11	(34.9,73.5)
seq3305	16q6.10	(13.4,84.2)
seq3306	20p15.9	(54.5,92.0)
seq3307	1q11.11	(6.7,20.1)
seq3308	20p12.3	(49.8,18.3)
seq3309	17p3.2	(18.6,1.9)
seq3310	21q11.7	(44.6,5.2)
seq3311	19q13.6	(5.5,44.9)
seq3312	13p15.3	(22.0,44.0)
seq3313	14p1.1	(85.2,71.5)
seq3314	9q12.3	(90.5,26.8)
seq3315	7q3.4	(74.3,91.9)
seq3316	2p4.5	(2.5,80.6)
seq3317	6q5.11	(3.9,45.8)
seq3318	3p15.14	(94.1,86.8)
seq3319	15p4.8	(74.9,13.4)
seq3320	2q2.4	(47.9,59.7)
seq3321	8p11.2	(45.3,28.4)
seq3322	21q6.12	(88.8,34.7)
seq3323	3q15.3	(81.1,29.7)
seq3324	10q13.14	(68.4,2.2)
seq3325	22p6.7	(96.8,28.2)
seq3326	15q11.1	(5.2,38.3)
seq3327	10q7.10	(35.9,82.7)
seq3328	8p10.9	(21.0,80.5)
seq3329	12q6.12	(94.1,54.3)
seq3330	22p2.4	(14.1,1.3)
seq3331	18q8.14	(47.8,88.7)
seq3332	21p8.2	(30.3,36.1)
seq3333	19q1.9	(82.4,51.1)
seq3334	20p12.7	(70.2,95.8)
seq3335	5p8.8	(76.7,96.2)
seq3336	12q15.8	(42.0,70.8)
seq3337	11p4.6	(84.3,42.5)
seq3338	15p13.15	(95.5,70.4)
seq3339	4q5.14	(32.5,21.0)
seq3340	13q4.4	(14.8,10.9)
seq3341	12q14.3	(76.6,62.9)
seq3342	20q12.6	(62.0,3.6)
seq3343	13q4.10	(72.6,8.3)
seq3344	3q15.5	(63.2,72.7)
seq3345	20q3.14	(38.3,10.4)
seq3346	1p10.12	(18.0,89.8)
seq3347	10p5.4	(20.2,45.7)
seq3348	13p2.8	(4.5,59.9)
seq3349	6q15.12	(23.2,65.8)
seq3350	6q4.11	(35.4,25.2)
seq3351	3q2.14	(9.2,69.8)
seq3352	6p14.15	(97.3,11.9)
seq3353	22p5.7	(98.8,17.5)
seq3354	18q9.11	(58.6,98.2)
seq3355	17p6.10	(58.9,38.9)
seq3356	16p10.10	(56.9,9.5)
seq3357	6q14.7	(40.4,80.7)
seq3358	10q12.12	(87.0,37.9)
seq3359	11q15.2	(36.9,84.6)
seq3360	15p13.8	(66.4,0.7)
seq3361	18q14.10	(73.1,15.1)
seq3362	22q12.3	(58.8,9.6)
seq3363	17q9.7	(19.1,73.6)
seq3364	15q9.7	(60.6,19.5)
seq3365	22q7.15	(93.7,79.4)
seq3366	5q7.2	(9.5,32.0)
seq3367	10q10.12	(39.4,92.5)
seq3368	4q12.1	(18.3,10.8)
seq3369	14q9.9	(55.7,65.8)
seq3370	20q11.6	(64.6,15.2)
seq3371	14p10.12	(46.0,5.5)
seq3372	14q14.5	(99.9,94.3)
seq3373	2p4.9	(34.1,11.9)
seq3374	15q1.8	(51.1,12.5)
seq3375	10p3.8	(49.0,64.8)
seq3376	3q13.2	(13.3,99.4)
seq3377	16p15.8	(33.7,72.3)
seq3378	21p8.15	(59.7,68.1)
seq3379	1p15.12	(93.6,82.1)
seq3380	15q9.5	(39.1,44.7)
seq3381	16q7.8	(65.5,38.4)
seq3382	19q1.6	(10.1,42.6)
seq3383	11q2.1	(73.0,49.7)
seq3384	19q14.9	(17.4,21.8)
seq3385	6p12.7	(53.7,30.7)
seq3386	4q13.12	(8.0,40.1)
seq3387	21p1.11	(10.1,93.8)
seq3388	19p1.10	(9.1,50.0)
seq3389	6q4.13	(62.6,71.8)
seq3390	4q11.8	(6.7,64.1)
seq3391	15q6.1	(62.5,34.7)
seq3392	15q13.14	(69.0,70.1)
seq3393	18p6.3	(58.1,35.6)
seq3394	21p2.12	(76.0,55.9)
seq3395	19p2.4	(15.0,50.8)
seq3396	8p6.7	(83.1,46.1)
seq3397	13p9.1	(79.0,34.1)
seq3398	8p6.7	(73.5,98.0)
seq3399	19p1.8	(94.4,21.2)
seq3400	21p11.1	(64.3,68.3)
seq3401	2q15.11	(93.2,35.9)
seq3402	6p5.11	(17.8,62.1)
seq3403	16q15.10	(8.1,11.8)
seq3404	20q8.13	(69.7,4.7)
seq3405	15p4.14	(56.0,50.5)
seq3406	18p14.4	(44.5,47.1)
seq3407	21p6.12	(62.8,44.1)
seq3408	20p13.10	(16.8,72.8)
seq3409	3q4.3	(41.7,69.0)
seq3410	15q3.3	(67.1,99.6)
seq3411	19q9.5	(31.9,22.5)
seq3412	6p4.1	(11.2,31.4)
seq3413	11p6.10	(96.3,4.5)
seq3414	22q11.13	(21.8,65.9)
seq3415	14q13.7	(86.7,59.3)
seq3416	22p12.2	(79.9,17.8)
seq3417	13q7.12	(20.9,56.4)
seq3418	22p2.9	(69.2,9.4)
seq3419	8p3.8	(39.6,55.0)
seq3420	22q6.8	(89.8,89.8)
seq3421	3q10.6	(79.8,58.8)
seq3422	16p8.9	(0.1,96.1)
seq3423	14p5.15	(75.7,96.7)
seq3424	11p9.7	(15.2,53.6)
seq3425	22q11.3	(19.1,67.0)
seq3426	9p14.13	(99.8,14.4)
seq3427	4q2.1	(26.4,23.7)
seq3428	22p6.1	(56.8,72.9)
seq3429	11q3.1	(87.9,66.3)
seq3430	1p9.1	(67.6,32.8)
seq3431	16q5.1	(89.1,91.7)
seq3432	7p9.2	(81.7,72.2)
seq3433	11q3.3	(70.4,46.4)
seq3434	4q1.11	(1.0,36.0)
seq3435	7p10.2	(28.7,38.2)
seq3436	15p7.11	(64.9,39.1)
seq3437	5p6.12	(50.4,58.4)
seq3438	12q6.4	(84.7,47.4)
seq3439	9p12.10	(76.2,90.7)
seq3440	6q13.8	(20.4,22.2)
seq3441	5p9.13	(92.0,10.6)
seq3442	13q7.7	(27.2,60.8)
seq3443	1p11.8	(35.8,53.7)
seq3444	10q12.11	(77.8,27.1)
seq3445	7q10.5	(21.2,62.4)
seq3446	3p14.5	(98.1,7.5)
seq3447	2p1.1	(95.3,72.8)
seq3448	17q11.14	(55.8,9.8)
seq3449	5p2.4	(34.1,13.5)
seq3450	10q2.7	(42.9,72.4)
seq3451	21q6.13	(93.6,13.8)
seq3452	2q11.4	(27.2,55.6)
seq3453	6q11.4	(20.5,63.0)
seq3454	16p15.14	(36.9,17.8)
seq3455	14p1.3	(98.1,62.6)
seq3456	11q15.12	(23.7,22.4)
seq3457	21q15.13	(29.3,33.8)
seq3458	20p3.6	(90.4,82.7)
seq3459	8p7.6	(72.3,58.9)
seq3460	4p2.12	(67.8,96.3)
seq3461	5q5.3	(20.0,65.8)
seq3462	8p13.4	(20.9,32.0)
seq3463	7q8.4	(11.9,82.3)
seq3464	21q10.12	(90.4,49.5)
seq3465	1q4.6	(31.3,48.8)
seq3466	15p14.1	(76.6,27.5)
seq3467	3q12.13	(6.1,24.7)
seq3468	19q4.7	(51.3,91.5)
seq3469	19p1.10	(31.9,24.5)
seq3470	22p14.3	(35.4,36.3)
seq3471	9p1.12	(76.8,22.1)
seq3472	11q12.6	(87.8,90.1)
seq3473	15q14.4	(0.5,56.7)
seq3474	3p12.1	(33.5,48.1)
seq3475	17p2.12	(70.4,8.9)
seq3476	7p8.11	(50.6,99.7)
seq3477	11q5.10	(98.8,12.4)
seq3478	22p13.6	(62.7,40.1)
seq3479	6p10.9	(90.7,84.5)
seq3480	7q14.15	(42.0,92.9)
seq3481	2q1.11	(97.6,29.1)
seq3482	11p8.7	(92.6,65.1)
seq3483	12q2.9	(20.2,87.1)
seq3484	8p4.9	(10.0,12.7)
seq3485	2q1.4	(22.7,4.2)
seq3486	4p9.12	(30.6,11.5)
seq3487	4p9.8	(67.3,99.1)
seq3488	14q5.10	(16.7,45.0)
seq3489	19q14.1	(75.9,43.5)
seq3490	2p1.5	(30.2,90.8)
seq3491	22q9.2	(36.1,24.2)
seq3492	14p10.2	(41.3,47.6)
seq3493	2p15.6	(15.8,85.2)
seq3494	1q13.9	(70.8,44.7)
seq3495	9q14.11	(31.7,71.7)
seq3496	3p14.6	(83.9,36.8)
seq3497	22p2.13	(5.3,10.8)
seq3498	3p14.3	(37.0,35.8)
seq3499	7p2.4	(80.7,90.8)
seq3500	19q15.3	(98.0,43.4)
seq3501	4q6.14	(61.1,25.0)
seq3502	2q1.4	(12.5,90.1)
seq3503	4p3.14	(92.2,57.8)
seq3504	5q14.1	(41.7,46.4)
seq3505	13p6.13	(86.9,13.6)
seq3506	5q15.10	(23.7,47.5)
seq3507	18p5.13	(97.4,90.4)
seq3508	8q1.8	(2.1,10.0)
seq3509	18p13.7	(92.5,14.1)
seq3510	20q10.1	(85.4,26.9)
seq3511	2p12.7	(9.2,89.5)
seq3512	7p4.15	(32.8,82.2)
seq3513	19q7.12	(77.2,11.3)
seq3514	7q11.12	(72.1,51.9)
seq3515	1p15.9	(95.5,74.0)
seq3516	13p1.14	(98.1,75.6)
seq3517	21q3.7	(78.6,76.1)
seq3518	1p3.13	(47.2,40.9)
seq3519	16q4.11	(10.8,76.0)
seq3520	2q13.10	(9.0,64.6)
seq3521	4q5.11	(3.4,82.4)
seq3522	17p14.15	(14.6,98.3)
seq3523	12p4.5	(42.5,26.8)
seq3524	20p3.10	(12.1,59.3)
seq3525	13q6.15	(7.5,65.6)
seq3526	5q8.14	(38.2,61.1)
seq3527	21q13.2	(23.2,95.5)
seq3528	7q1.7	(24.5,33.5)
seq3529	3p15.5	(10.2,18.2)
seq3530	7q1.4	(2.1,77.2)
seq3531	9p15.10	(76.7,93.7)
seq3532	13p8.14	(16.0,57.0)
seq3533	21p2.4	(89.7,83.0)
seq3534	6p14.1	(99.9,40.3)
seq3535	21q13.14	(25.4,79.6)
seq3536	15p14.6	(2.1,26.0)
seq3537	8q8.15	(19.4,86.0)
seq3538	1p13.10	(17.8,56.7)
seq3539	9p2.5	(82.7,9.6)
seq3540	9p10.2	(90.1,39.4)
seq3541	9q1.2	(59.7,87.0)
seq3542	1q6.4	(44.6,84.3)
seq3543	6p5.5	(19.6,43.5)
seq3544	17q6.8	(70.9,90.1)
seq3545	21q8.2	(81.1,87.5)
seq3546	13q6.9	(96.9,51.0)
seq3547	16p1.4	(37.6,32.3)
seq3548	17q9.12	(64.1,83.1)
seq3549	4p5.5	(23.7,91.0)
seq3550	19q4.7	(4.5,28.5)
seq3551	6p6.11	(22.7,31.1)
seq3552	7p11.6	(79.0,18.3)
seq3553	4q14.11	(91.3,18.0)
seq3554	5q5.11	(16.4,3.6)
seq3555	17p10.4	(51.6,84.7)
seq3556	18p1.15	(24.7,46.1)
seq3557	10p10.7	(87.9,82.3)
seq3558	2p8.3	(63.2,65.8)
seq3559	18q6.11	(10.0,74.3)
seq3560	19q7.1	(47.4,61.6)
seq3561	9p11.8	(26.0,32.4)
seq3562	10q11.11	(5.4,49.7)
seq3563	18q8.9	(5.8,74.5)
seq3564	5q2.10	(31.7,98.5)
seq3565	19p3.2	(43.0,45.6)
seq3566	15p7.15	(24.8,42.0)
seq3567	22q4.12	(67.4,21.1)
seq3568	20p12.1	(64.7,56.5)
seq3569	5p6.2	(26.7,39.7)
seq3570	22q2.1	(50.1,67.5)
seq3571	20q13.14	(64.5,65.3)
seq3572	6p14.7	(50.5,19.4)
seq3573	4p8.6	(21.5,24.8)
seq3574	9q12.4	(0.7,81.5)
seq3575	18p12.5	(14.6,57.2)
seq3576	15q5.1	(18.4,78.3)
seq3577	5p7.10	(33.9,22.8)
seq3578	17p15.7	(56.1,97.7)
seq3579	16p6.10	(29.4,90.3)
seq3580	8p9.13	(90.0,48.5)
seq3581	12q10.13	(33.1,52.8)
seq3582	9q8.8	(48.1,55.4)
seq3583	9q4.10	(13.7,63.1)
seq3584	6q7.15	(55.9,35.1)
seq3585	15p5.9	(64.8,30.2)
seq3586	5p4.5	(1.5,76.1)
seq3587	1q9.2	(34.6,14.8)
seq3588	13q4.14	(5.6,24.7)
seq3589	4q3.8	(10.0,26.9)
seq3590	11p9.2	(21.8,63.6)
seq3591	9q15.15	(39.3,4.6)
seq3592	22p3.14	(45.5,59.9)
seq3593	18q4.3	(95.1,5.1)
seq3594	20p9.2	(37.3,0.2)
seq3595	13p1.14	(55.4,38.1)
seq3596	21q13.15	(81.2,20.3)
seq3597	7q11.5	(79.0,98.2)
seq3598	8p9.1	(5.5,91.7)
seq3599	16p13.5	(36.9,61.4)
seq3600	15q15.9	(96.8,42.9)
seq3601	8q3.10	(93.2,86.9)
seq3602	20q8.8	(93.5,93.3)
seq3603	1p5.12	(80.8,95.4)
seq3604	17q2.6	(97.6,11.8)
seq3605	11p12.3	(41.0,61.9)
seq3606	3q12.13	(0.2,59.0)
seq3607	3p3.14	(18.0,52.3)
seq3608	10q7.9	(39.5,84.6)
seq3609	9p8.14	(90.3,32.9)
seq3610	15q6.7	(25.6,39.5)
seq3611	22q1.12	(40.8,8.1)
seq3612	6p13.4	(21.0,76.6)
seq3613	13q6.4	(29.1,11.9)
seq3614	4p3.10	(73.6,91.6)
seq3615	1p11.9	(14.6,33.4)
seq3616	20q2.8	(25.4,42.0)
seq3617	14q10.2	(25.1,67.5)
seq3618	11q3.3	(45.7,3.1)
seq3619	13q14.15	(57.6,59.0)
seq3620	10q13.13	(30.2,28.1)
seq3621	2q6.5	(15.9,75.3)
seq3622	10q7.9	(42.3,26.7)
seq3623	18q13.10	(76.1,68.2)
seq3624	1q2.1	(43.9,23.4)
seq3625	20p15.15	(21.5,96.3)
seq3626	5q14.11	(8.9,54.0)
seq3627	3p8.12	(42.5,62.5)
seq3628	14p15.4	(94.8,49.1)
seq3629	19q11.1	(33.4,92.5)
seq3630	1p5.5	(79.0,59.6)
seq3631	21p4.14	(68.7,80.8)
seq3632	17p3.5	(61.1,76.7)
seq3633	5q14.8	(23.6,32.7)
seq3634	9q3.10	(12.4,99.0)
seq3635	19p4.4	(66.7,25.3)
seq3636	8p9.5	(22.3,99.0)
seq3637	17q1.6	(96.5,22.5)
seq3638	14p2.13	(56.4,12.6)
seq3639	8q8.6	(48.8,12.2)
seq3640	3q1.12	(8.5,11.4)
seq3641	4p15.8	(91.2,82.7)
seq3642	5p12.13	(26.8,96.9)
seq3643	4p2.9	(16.1,77.6)
seq3644	11q14.3	(90.3,65.4)
seq3645	1q1.9	(52.5,99.1)
seq3646	15p13.6	(47.6,44.8)
seq3647	8q14.3	(85.6,86.5)
seq3648	3p9.8	(77.3,92.8)
seq3649	19q3.15	(19.1,50.7)
seq3650	21q10.2	(59.2,19.7)
seq3651	13p5.2	(6.2,46.7)
seq3652	15q9.4	(25.2,51.7)
seq3653	14p12.4	(17.4,68.1)
seq3654	19q5.5	(72.5,42.9)
seq3655	4q11.1	(83.4,42.2)
seq3656	8p7.10	(5.7,20.7)
seq3657	16p13.15	(73.3,83.0)
seq3658	13q7.13	(98.7,63.2)
seq3659	6q7.4	(58.0,56.8)
seq3660	17p1.13	(96.4,62.1)
seq3661	12p6.8	(52.4,46.2)
seq3662	1q8.1	(95.4,93.9)
seq3663	1p5.6	(70.4,69.8)
seq3664	7p4.8	(38.6,41.5)
seq3665	14q4.8	(38.2,89.5)
seq3666	19q4.3	(7.6,43.2)
seq3667	14p14.9	(99.9,2.1)
seq3668	18q2.12	(72.3,37.8)
seq3669	12p3.12	(48.9,98.0)
seq3670	9q2.6	(85.3,75.2)
seq3671	2q12.4	(25.7,67.7)
seq3672	22q13.2	(90.2,29.8)
seq3673	6q14.12	(63.4,12.2)
seq3674	6q14.2	(67.4,92.2)
seq3675	4q6.2	(56.3,89.3)
seq3676	1p6.5	(8.3,1.9)
seq3677	10p15.8	(77.5,0.6)
seq3678	20p5.9	(37.0,33.2)
seq3679	2q12.1	(69.1,95.8)
seq3680	14q3.7	(27.8,78.7)
seq3681	11p12.12	(26.7,92.7)
seq3682	1q12.8	(15.0,84.1)
seq3683	7q2.9	(86.1,30.4)
seq3684	18q3.5	(7.1,16.2)
seq3685	9p11.8	(79.3,72.3)
seq3686	10q5.8	(18.2,59.3)
seq3687	7q11.9	(14.6,85.6)
seq3688	20p5.13	(61.0,1.4)
seq3689	11p2.11	(73.4,26.8)
seq3690	10q9.7	(4.0,75.4)
seq3691	14q9.11	(29.0,19.2)
seq3692	7p11.3	(84.7,19.1)
